headline,writers,date,genre,content
Israel university authorities slam bill criminalising the Palestinian flag as 'fascist',Unknown,"May 26, 2023 at 3:08 pm",Israel+Middle East+News+Palestine,"The authorities across Israel's universities have condemned a bill that would ban flying the flag of Palestine anywhere in Israel, including in academic institutions, reported The Times of Israel. In a letter published yesterday, the Committee of University Heads criticised the bill, that passed a preliminary reading last week as an attempt ""to turn academic institutions into branches of the Israeli Police and the Shin Bet, forcing them to track hundreds of thousands of students on their premises, and to impose punishments on actions that currently are mostly protected by freedom of speech laws."" ""This is politicisation and deep and unreasonable intervention in campus activities. An attempt to use academia for criminal enforcement, turning the institution managers into cops, judges and even executioners – when dealing with offences that have nothing to do with academia,"" the university heads added. The proposal for the law, put forward by the far-right Otzma Yehudit party, stipulates that three or more people waving the flag of a ""hostile entity"" will be considered a crime and, therefore, punishable by up to one year in prison. READ: China calls on Israel to stop encroaching on Palestinian land According to Haaretz, the bill, which requires three additional votes to pass, will also enable Israel authorities to criminalise and disband protests held by Palestinians. In a separate statement, the President of Tel Aviv University, Ariel Porat, slammed the proposal as ""fascist"" and said he will not follow the law's clause ordering the permanent expulsion of students who display the Palestinian flag. He wrote: ""The Palestinian Authority is not an enemy state and is not a terror organisation. Waving the Palestinian flag is an act that is protected under freedom of expression. If we are to act according to this law, we would probably have to ban most of our students, who would rightly object to this form of oppression and will not hesitate to wave the Palestinian flag."" The bill comes after Israel's Knesset parliament passed the preliminary reading of a controversial bill last year that would ban flying the Palestinian flag in state-funded institutions. It also comes after Israeli settlers staged the flag march through Jerusalem's Old City last week to mark what they call the unification of Jerusalem, in reference to Israel's occupation of the city in 1967. The letter, which was sent to members of Israel's Council for Higher Education, is set to be discussed in the cabinet meeting on Sunday. READ: European trade union to boycott products made in Israel settlements   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Iran: Int'al efforts to reach preliminary version of nuclear deal,Unknown,"May 26, 2023 at 3:00 pm",Iran+Middle East+News,"Iranian Foreign Minister Hossein Amir Abdollahian said yesterday that there are international efforts to reach a preliminary version of a nuclear agreement. Abdullahian said in a press statement that the negotiations for a nuclear agreement are taking place indirectly through the exchange of messages between the concerned parties, according to the local IRNA news agency. He added that the nuclear agreement, which is officially known as the Joint Comprehensive Plan of Action (JCPOA), whether it is good or bad, has strengths and weaknesses, and it constitutes the way for Iran to have Western sanctions lifted. READ: If Iran exports gas to Europe, it will go through Turkiye   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Turkiye launches Syria housing project for return of refugees,Unknown,"May 26, 2023 at 2:39 pm",Europe & Russia+Israel+Middle East+News+Qatar+Syria+Turkey,"Turkiye has launched the construction of a mega-scale housing project to resettle Syrian refugees in northern Syria, Turkish media outlets reported. The project includes nearly a quarter of a million housing units on the outskirts of the town of Ghandura in the Jarablus region on the border with Turkiye. ""Syrian refugees living in Turkey will settle in homes … within the framework of voluntary return that preserves their dignity,"" Turkish Interior Minister Suleiman Soylu said on Wednesday as he laid the foundation stone for the project, adding that ""240,000 homes will be built in the area."" He said he hoped the project would be complete within three years. Turkiye controls a wide border strip in northern Syria, which includes a number of major cities. Its forces are deployed at several observation points in the governorates of Aleppo and Idlib. Qatar is the main financier of the project. ""So far, there have been 554,000 voluntary returns,"" Soylu said. ""There is a serious demand for voluntary and dignified return to this safe area,"" he added. READ: Israel army, armed parties in Syria exchange fire   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"If Iran exports gas to Europe, it will go through Turkiye",Unknown,"May 26, 2023 at 2:37 pm",Afghanistan+Asia & Americas+Europe & Russia+Iran+Middle East+News+Oman+Pakistan+Turkey,"The General Manager of the National Iranian Gas Company, Majid Jakini, said that if his country exports natural gas to Europe, it will be done through Turkiye. This came in statements to the Iranian Labour News Agency yesterday about Tehran's future approach regarding the country's natural gas exports. He added: ""If we export natural gas to Europe, it will be through Turkiye."" He pointed out that Pakistan, Afghanistan and Oman want Iranian natural gas and that negotiations are on their agenda, but the infrastructure needed to sign contracts with some of these countries is not yet ready. READ: Iran says it has successfully test-launched ballistic missile   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Israel mulls bill to annex 'parks, natural reserves' in occupied West Bank",Unknown,"May 26, 2023 at 1:47 pm",Israel+Middle East+News+Palestine,"The Israeli Ministerial Committee for Legislation Affairs will discuss on Sunday an amendment to the law on national parks, nature reserves, national sites and memorials, which aims to impose Israeli law on such sites in the occupied West Bank, Haaretz newspaper reported. The bill, submitted by Knesset member Danny Danon of the Likud Party, authorises the interior minister to declare sites in those areas as national sites rather than the defence minister, who currently has that power. ""The lands of Judea and Samaria [the West Bank] are full of heritage sites of great national and historical importance to the development of settlement in the Land of Israel,"" the proposal's explanatory note said. ""We must recognise the history of the Jewish people that can be found in every clod of earth in Judea and Samaria,"" it added. According to the paper, if the Knesset approves the bill, it will lead to the annexation of other areas. The paper quoted human rights lawyer, Michael Sfard, as saying: ""The bill fits into the work of legal annexation that this government is leading, as part of which the powers of government bodies are stretched beyond the Green Line and the Israeli legislator claims to exercise legislative authority in the occupied West Bank."" READ: European trade union to boycott products made in Israel settlements ""There is no difference between the aggressive annexation of parts of Ukraine by [Russian President] Putin and the moves made by the Israeli government,"" he added. The committee will also discuss a draft bill proposed by the far-right Otzma Yehudit MK Limor Son Har-Melech which aims to amend the student's rights law to allow for the expulsion of students ""who support terrorism"". This is defined as expressing support for an enemy state's armed struggle or that of a terrorist organisation that targets Israel or ""waving the flag of an enemy nation, terror group or the Palestinian Authority.""   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
European trade union to boycott products made in Israel settlements,Unknown,"May 26, 2023 at 1:11 pm",EU+International Organisations+Israel+Middle East+News+Palestine,"The European Trade Union Confederation (ETUC), which represents over 45 million European workers and their trade unions, decided today to boycott products made in illegal Israeli settlements in the occupied Palestinian territories. The organisation also stressed the importance of regulatory measures to prevent EU legal entities from importing or exporting products manufactured in illegal Israeli settlements in accordance with EU treaties and international law. The decision came during the confederation's 15th Congress, being held in the German capital Berlin today. Addressing the conference, the Secretary-General of the Palestine Trade Union Federation, Shaher Saad, welcomed the attendees and drew attention to the plight of the Palestinians as he noted the death toll so far this year, which has already reached 172 Palestinians. ""Israel has been transformed entirely under the leadership of the far-right government to a hothouse and incubator of racism, terrorism and unbridled settler violence,"" he said. READ: All forms of settlement building in West Bank illegal: EU ""The occupying state is holding more than 4,900 prisoners, including 31 female prisoners, and 160 children, including a girl under the age of 18, in addition to 1,000 administrative detainees, including six children,"" he added. According to the Wafa news agency, the confederation emphasised the need to reach an agreement between Israel and Palestine that would lead to the implementation of the two-state solution, with East Jerusalem as the capital of a Palestinian state and the establishment of a lasting solution that respects the legitimate rights of both peoples to coexist in security and peace. Saad added in his speech: ""Many of the members of this conference witnessed some of the suffering that our male and female workers suffer at military checkpoints and in the unjust Israeli labour market, and the guests of the Palestinians turned from visitors into eyewitnesses to these crimes and violations, after they showed the necessary feelings of solidarity."" ""No two people in this world can no longer disagree that the foreign occupation of other people's lands is the calamity of all mankind and its black plague,"" he continued. ""If there is anything on earth that deserves condemnation, rejection, and denunciation, it is the continuation of the Israeli occupation of Palestine, that occupation that pays our disarmed people the cost of their existence and brutality, and curbs their unbridled lust for licking the blood of innocent people and taking their lives,"" he added. ""If this international community had any will, it would have brought the Israeli occupation state to the platform of accountability, after its killing of journalist Shireen Abu Akleh, and imposed on it the repulsive penalties it deserves, as it is a rogue state that continued to deviate from the law."" The ETUC's Congress is held every four years. Ninety-three trade unions from 41 European countries take part, as well as ten European trade union federations. READ: China calls on Israel to stop encroaching on Palestinian land   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Hamas chief hails Islamic Bloc victory in Birzeit student council,Unknown,"May 26, 2023 at 9:15 am",Middle East+News+Palestine,"The head of Hamas' Political Bureau, Ismail Haniyeh, has hailed the victory of the Hamas-affiliated Islamic Wafa bloc in the Birzeit University's student union election saying it represents an ""extension"" of the movement's balanced presence at various levels and areas. Speaking over the phone to participants in the celebrations organised by the bloc yesterday, Haniyeh said the victory carries three important messages including that Hamas is ""unbreakable"" in the West Bank and in all the homeland, and is capable of confronting the ""occupier, oppression and terrorism"". ""The second message is that the bloc has proven its ability to adapt to changes, overcome complexities, and fill the void created by arrests, martyrdom, or deportation,"" Haniyeh said, adding that the third message is that ""participation in the elections stemmed from national competition, and on the basis of adhering to partnership with all forces and factions."" He reiterated the movement's adherence to holding the general presidential and legislative elections as well as those for the PLO National Council and student union elections in all universities in the Gaza Strip. On Wednesday, the Wafa bloc won 25 seats out of the 51 in the Student Union Council in the Birzeit student union elections. Last week, the Islamic bloc won a majority of 40 seats at An-Najah National University in Nablus, in the northern occupied West Bank, while Fatah's Shabiba bloc won 38 seats. A Hamas linked student bloc also won the majority of seats at Palestine Polytechnic University in Hebron in March. READ: Israel allocates $941m from state budget to expand, upscale illegal settlements   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Iran says it has successfully test-launched ballistic missile,Unknown,"May 25, 2023 at 8:49 pm",Asia & Americas+International Organisations+Iran+Israel+Middle East+News+UN+US,"Iran successfully test-launched a ballistic missile with a potential 2,000-km range on Thursday, state media said, two days after the chief of Israel's Armed Forces raised the prospect of ""action"" against Tehran over its nuclear programme, Reuters reports. Iran, which has one of the biggest missile programmes in the Middle East, says its weapons are capable of reaching the bases of arch-foes, Israel and the United States, in the region. Despite US and European opposition, the Islamic Republic has said it will further develop its ""defensive"" missile programme. ""Our message to Iran's enemies is that we will defend the country and its achievements. Our message to our friends is that we want to help regional stability,"" Iranian Defence Minister, Mohammadreza Ashtiani, said. State TV broadcast a few seconds of footage of what it said was the launch of an upgraded version of Iran's Khoramshahr 4 ballistic missile with a range of 2,000 km (1,243 miles) and able to carry a 1,500-kg (3,300-pound) warhead. READ: Iran unveils new ballistic missile with a range of 2,000 kilometres The state news agency, IRNA, said the liquid-fuel missile had been named the ""Kheibar"", a reference to a Jewish castle overrun by Muslim warriors in the early days of Islam. ""The domestically built Kheibar missile's outstanding features include quick preparation and launch time, which makes it a tactical weapon in addition to a strategic one,"" it said. US State Department spokesperson, Matthew Miller, said, ""Iran's development and proliferation of ballistic missiles poses a serious threat to regional and international security and remains a significant non-proliferation challenge."" Iran was continuing to seek missile technology from foreign suppliers and conducting tests in defiance of a UN Security Council resolution, Miller told reporters at a regular press briefing, adding that Washington would continue to use tools including sanctions to counter those efforts. Israel, which the Islamic Republic does not recognise, sees Iran as an existential threat. Iran says its ballistic missiles are an important deterrent and retaliatory force against the United States, Israel and other potential regional adversaries. An Israeli military spokesperson said the military does not comment on such matters. On Tuesday, the top Israeli General mooted possible military action against Iran as efforts by six world powers to revive Tehran's 2015 nuclear deal have stalled since last September, amid growing Western fears about Tehran's accelerating nuclear advances. The deal, which Washington ditched in 2018 under then President Donald Trump, had imposed curbs on Iran's nuclear activities that extended the time Tehran would need to produce enough fissile material for a nuclear bomb, if it chose to do so. Iran denies seeking nuclear weapons. READ: France says Iran ballistic test worrying in light of nuclear escalation   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Kuwait to continue ban on visas for Philippines workers after talks fail to resolve labour dispute,Unknown,"May 25, 2023 at 8:46 pm",Asia & Americas+Kuwait+Middle East+News+Philippines,"Kuwait is maintaining a ban it imposed on issuing visas for workers from the Philippines amid an ongoing labour row between the two countries which talks have failed to resolve. After Filipino authorities alleged failure to comply with a labour agreement it previously reached with Kuwait, the Gulf nation suspended the issuance of all visas for Filipino workers earlier this month. According to Kuwait, the ban was imposed in response to ""wrong practices"" made by the Philippines' embassy in the country and the alleged crimes committed by some members of the Filipino community against Kuwaitis. Amongst the reported violations listed by Kuwait's Public Authority of Manpower (PAM) were attempts to get domestic labour recruitment offices to withdraw Filipino house workers from Kuwaitis' households on the pretext that their employment contracts were completed, putting pressure on employers to renew contracts with undesirable conditions, and circumventing competent agencies in Kuwait by directly contacting Kuwaiti citizens and recruitment offices to check on matters with the Philippines' embassy. In addition, PAM cited the ""inappropriate treatment"" of Kuwaiti citizens who were checking with the Philippines' embassy upon its request, and the embassy was also accused of sheltering Filipino workers who violated Kuwait's residency law or were registered as absentees. From the Philippines' side, however, it has for years insisted that its workers in the small Gulf nation face abuse and poor treatment, forcing Manila to demand greater rights for their citizens. READ: Philippines halts sending domestic workers to Kuwait after maid's murder In a statement by PAM, Kuwait's First Deputy Prime Minister and Interior Minister, Talal Al Khalid, asserted that ""Kuwait's sovereignty and its people's dignity are a red line"". The statement added that Kuwait is committed to international accords signed with the Philippines and the renewal of Filipinos' valid residency permits. In talks this month, requested by the Filipino government, Kuwait set a number of conditions for resolving the dispute, including the embassy's acknowledgment of having committed violations and infringing Kuwaiti laws, and for it to make an official pledge to not repeat them in the future. Kuwait also requested that it notify the Philippine government of the acknowledgment and the pledge, and to have them published in official media Only after then, Kuwait said, would its Interior Ministry evaluate the situation, as well as follow up on the embassy's abidance by security regulations for at least three months before deciding what it sees fit to do. The Filipino delegation asked for 72 hours to check with its government on the conditions set by the Kuwaiti side, which were rejected by Manila. As a result, Kuwait has said that its decision to suspend the issuance of all visas for Filipinos will continue ""until further notice"", with First Deputy Prime Minister, Al Khalid, directing PAM to coordinate with the Foreign Ministry to reach agreements with other countries for the provision of skilled workers to Kuwait. READ: FACTBOX – Russia gold shipments to the UAE, China and Turkiye   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
China calls on Israel to 'stop encroaching' on Palestinian land,Unknown,"May 25, 2023 at 7:13 pm",Asia & Americas+China+International Organisations+Israel+Middle East+News+Palestine+UN+US,"China has called on Israel to ""stop encroaching"" upon Palestinian territory and resources, as Tel Aviv continues to allow and approve the construction of illegal Jewish settlements in the Occupied Territories. Speaking to the United Nations Security Council yesterday, Geng Shuang, China's deputy Permanent Representative to the UN, stated that ""since the beginning of this year, Israel has continued to advance unilateral actions on approving returns, building new settlements and legalising settlements"". Emphasising that such settlement building and activities violate international law and UN Security Council Resolution 2334, he expressed Beijing's stance to ""urge Israel to immediately halt these actions and stop encroaching upon the land and resources of the Palestinian people"". Shuang also stressed that ""the historical status quo of religious holy sites in Jerusalem must be respected and upheld"", saying that Israeli National Security Minister, Itamar Ben-Gvir ""caused renewed tensions"" by storming the Al Aqsa Mosque compound for the second time this year and proclaiming Israel's alleged ownership of the Islamic holy site. ""On the issue of religious holy sites, Israel must stop its provocations, guarantee the right to worship of Muslim worshipers, uphold the peace and tranquillity of religious holy sites, and respect the custodianship of Jordan"", he asserted. READ: 'Irresponsible': China blasts Israel Minister denying Palestine existence Shuang also drew attention to the fact that tensions and clashes between the Israeli occupation and Palestinian Resistance groups ""have been repeating themselves over the past few years, fully demonstrating that a long-stalled peace process is not sustainable, that piece-meal crisis management will not last, and that a comprehensive and just solution is irreplaceable"". He indicated China's increasing role in the issue, as with others in the region, and the possibility of surpassing the United States as a mediatory force and hegemon. Supposedly referring to the US, he stated that ""the country with major influence on the parties concerned should make concrete efforts to advance the Middle East peace process and should not unjustifiably prevent the Security Council from arriving at the minimum consensus on the Palestine-Israeli issue"". The Chinese diplomat's remarks came as the Israeli government yesterday approved the proposed state budget for 2023-2024, which allocates around 3.5 billion Israeli shekels ($941 million) for the illegal settlement projects and the upgrading of their infrastructure. Current estimates report that there are around 700,000 illegal settlers living in 164 settlements and 116 outposts in the Occupied West Bank and Occupied East Jerusalem, with that set to expand as Tel Aviv frequently approves thousands of more settlement units. READ: Israel complains about growing Chinese role in Middle East at Washington's expense   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
France says Iran ballistic test worrying in light of nuclear escalation,Unknown,"May 25, 2023 at 5:31 pm",Asia & Americas+Europe & Russia+France+IAEA+International Organisations+Iran+Middle East+News+UN+US,"France, on Thursday, accused Iran of violating a UN Security Council resolution endorsing the 2015 nuclear deal after it carried out a long-range ballistic missile test, which Paris said was worrying given ""uninterrupted escalation"" of Tehran's nuclear programme, Reuters reports. Iran successfully test-launched a ballistic missile with a potential 2,000-km range on Thursday, state media said, the latest in ballistic missile tests and satellite launches. ""These activities are all the more worrying in the context of the continuing escalation of Iran's nuclear programme"", French Foreign Ministry spokesperson, Anne-Claire Legendre, told reporters at a daily briefing. UN Security Council resolution 2231 calls on Iran not to conduct ""any activity"" related to ballistic missiles capable of delivering nuclear weapons, but the language is ambiguous, leaving it open to interpretation. Western officials say that, although the launches go against 2231, they are not a violation of the core nuclear agreement between Iran, Britain, China, France, Germany, Russia and the United States. READ: Top Israel General says 'action' is on horizon over Iran nuclear work Western powers are particularly concerned because UN Security Council restrictions on missiles and related technologies last until October 2023, after which Iran is free to pursue its ballistic missile activity. Legendre's reference to the escalation of Iran's nuclear programme comes just 10 days before the International Atomic Energy Agency's 35-nation Board of Governors meets in Vienna. ""Iran's activities pose serious and increased non-proliferation risks without any credible civilian justification,"" she said. Ahead of the board meeting in March, the IAEA and Iran said they had agreed to make progress on various issues, including a long-stalled IAEA inquiry into uranium particles found at three undeclared sites in Iran. They also agreed to re-install all extra monitoring equipment, such as surveillance cameras, at nuclear sites that was put in place under Iran's 2015 nuclear deal with major powers, but then removed last year as the deal unravelled following the US withdrawal in 2018. Iran denies seeking nuclear weapons. It is unclear how much progress there has been and whether Western powers will decide to push for a resolution ordering Iran to cooperate more. ""We expect Iran to respect its international obligations … and carry out concrete and tangible progress before the Board of Governors meeting,"" Legendre said. READ: Iran unveils new ballistic missile with a range of 2,000 kilometres   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Bahrain Shia cleric released from jail following protests,Unknown,"May 25, 2023 at 4:39 pm",Bahrain+Middle East+News,"A prominent Bahraini Shia scholar has been released by authorities, days after being arrested over calling for the release of political prisoners. Sheikh Muhammad Sanqour's release was announced today by the Bahrain Institute for Rights and Democracy (BIRD) and comes after protestors were joined by scholars to denounce the recent arrest of prominent Shia imam Sheikh Muhammad Sanqour and have called for his release. UPDATE: Senior Shia cleric Sheikh Mohamed Sanquor has been released in #Bahrain. He was arrested on Monday after giving a speech during Friday prayers calling for the release of political prisoners. pic.twitter.com/IzpUT33YAO — BIRD (@BirdBahrain_) May 25, 2023  Sheikh Sanqour, the Friday prayers leader of Imam Al-Sadiq Mosque in Diraz village, was detained on Monday. According to the Gulf state's main, yet outlawed, opposition group AlWefaq National Islamic Society, a number of security forces surrounded his house before handing him a summons for interrogation at a local police station and being taken before the Public Prosecution Office (OPP). Hours later, a statement from the interior ministry said his case was being referred to OPP over ""repeated inflammatory speeches that included legal violations"" and ""publicly inciting hatred and contempt for a group of people."" OPINION: Bahrain is yet to normalise ties with its own people Middle East Eye reported that his arrest was believed to be linked to comments made during last week's Friday sermon, in which he raised concerns about the mistreatment of prisoners in the kingdom's jails. ""We call upon the relevant authorities to reassure the families of prisoners about their loved ones, as it has come to their knowledge that a number of prisoners have been subjected to abuse and physical violence. Some have been subjected to isolation, solitary confinement, and deprivation of adequate healthcare,"" he said during his sermon. تظاهرة غاضبة في السنابس تتضامن مع العلامة الشيخ محمد صنقور الذي تستهدفه السلطة بعد خطبة الجمعة التي تحدث فيها عن تعديل المناهج الدراسية إرضاءً للصهاينة – 22 مايو 2023#اوقفوا_الاضطهاد_الطائفي #البحرين #Bahrain pic.twitter.com/Lcn9iEGOWC — Alwefaq Society (@ALWEFAQ) May 22, 2023  Since the scholar's arrest, protestors have poured out into the streets across parts of the country, demanding his release, while a statement issued by Bahraini scholars said that Sheikh Sanqour ""is a well-known scholar, who is only known for his integrity in approach, honesty in his logic, concern for his religion and homeland, and for his advice for the interest of the homeland and people."" ""We see no reason for summoning, interrogating and arresting him. We demand his releases, as the country is in dire need of establishing an atmosphere of calmness and harmony,"" the statement added. Majeed Milad, a leader of the AlWefaq was quoted as saying, ""Sheikh Sanqour is a scholarly figure with high social prominence,"" expressing full solidarity with him while Bahrain's senior Shia scholar, Sheikh Isa Qassim also branded Sanqour's arrest as a ""Zionist demand"", stressing that ""the people of Bahrain will not surrender and sacrifice their scholars and leaders."" READ: Bahrain abolishes law pardoning rapists who marry victims   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
"Israel allocates $941m from state budget to expand, upscale illegal settlements",Unknown,"May 25, 2023 at 3:08 pm",International Organisations+Israel+Middle East+News+Palestine+UN,"The Israeli Knesset yesterday approved the new state budget for the next two years which includes investing 3.5 billion shekels ($941 million) into expanding Israeli settlement in the occupied West Bank. According to the Times of Israel, the majority of the funds will go towards paving new roads and improving existing ones, including highways to bypass Palestinian areas that further segregate Israeli settlers and Palestinians. Moreover, hundreds of millions of shekels have been allocated to approve illegal settlements which have never received government authorisation. The total funds from the allocated budget to upgrade and pave new roads in the occupied West Bank have been agreed between Israeli Finance Minister Bezalel Smotrich and Transportation Minister Miri Regev. They decided from this amount, to allocate a sum of $134 million towards expanding a road between the Ariel settlement and Tapuach Junction in the northern West Bank; $98 million to upgrade the access road to the Beit El Regional Council area. READ: Israel to impose 65% tax on human rights groups critical of the occupation state They also agreed to contribute $81 million from the budget to finance a new road between the illegal settlement of Migron and Qalandia north of Jerusalem, which will bypass Qalandia refugee camp and confiscate thousands of acres of Palestinian-owned lands. Additionally, hundreds of millions more were allocated for roads in and around East Jerusalem. The investment comprises 25 per cent of the Transportation Ministry's budget for road infrastructure in the entire country, reported the Times of Israel, despite the population in the illegal settlements comprising just five per cent of Israel's nearly ten million citizens. Smotrich celebrated the budget approved by the Israeli Knesset as ""excellent."" Meanwhile, Yoni Mizrachi, a researcher with Peace Now, said: ""All Israeli governments prioritise the West Bank settlements in the budget, but this government has gone even further and has taken money from core funds and given it to a small group living in the West Bank which in a political agreement with the Palestinians Israel will leave."" ""We are seeing an effort here to deepen Israel's presence in the West Bank,"" he added. On 30 March, the United Nations Human Rights Council discussed a report on settlements and their repercussions on the Palestinian people's rights, presented by the High Commissioner for Human Rights, Volker Turk. In his report, Turk emphasised that ""the number of Israeli settlers in the West Bank, including Jerusalem, increased from 520,000 to more than 700,000 over the past decade."" The report documented the existence of a relationship between Israeli settlement expansion and settler attacks against Palestinians over the past decade, noting that the United Nations has verified 3,372 incidents of settler violence, which resulted in the injury of 1,222 Palestinians. READ: Israel exerts effort to avoid being included in UN blacklist   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Hundreds of Israel settlers storm Al-Aqsa Mosque compound,Unknown,"May 25, 2023 at 2:00 pm",Israel+Middle East+News+Palestine+Videos & Photo Stories,"Hundreds of Israeli settlers, on Thursday, forced their way into the Al-Aqsa Mosque compound in Occupied East Jerusalem under heavy protection from the Israeli forces to mark a Jewish holiday, Anadolu News Agency reports. In a statement, the Islamic Endowments Department in Jerusalem said 252 Israeli settlers broke into the Al-Aqsa Mosque courtyard through the Mughrabi Gate in the western wall of the Mosque, expecting more settlers to storm the Mosque courtyard in the afternoon. Israeli groups earlier called on settlers to intensify their storming of the Al-Aqsa Mosque complex to mark the Jewish Shavuot holiday on Thursday and Friday. The department added that the Israeli police also restricted the entry of Palestinians since the dawn prayer. Since 2003, Israel has been allowing settlers into the compound almost daily. For Muslims, Al-Aqsa represents the world's third-holiest site. Jews, for their part, call the area the Temple Mount, claiming it was the site of two ancient Jewish temples. Israel occupied East Jerusalem during the 1967 Arab-Israeli War. It annexed the entire city in 1980 in a move never recognised by the international community. READ: Israel's violations of Al-Aqsa threaten its Islamic identity, Islamic-Christian Committee warns   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Israel to impose 65% tax on human rights groups critical of the occupation state,Unknown,"May 25, 2023 at 1:56 pm",Israel+Middle East+News+Palestine,"A new bill is being proposed which will grant Israel powers to extend its crackdown on human rights groups. The Ministerial Committee on Legislation will put forward a plan on Sunday to impose a tax on 65 per cent of foreign donations to Israeli and Palestinian humanitarian and human rights groups. The bill fulfils one of the promises made to the far-right National Security Minister Itamar Ben-Gvir's Otzma Yehudit party by Prime Minister Benjamin Netanyahu as part of their coalition agreement at the end of last year. Lawyers warned against the plan at the time and said that the move is similar to steps taken against human rights organisations in undemocratic countries. According to the deal, the government will pass the law 180 days after it is sworn in. If adopted, as is thought likely, the new tax will have a serious impact on human rights groups and NGOs. Some of Israel's most prominent and best-known rights organisations, including Breaking the Silence, B'Tselem, Peace Now and Yesh Din, rely on foreign funding from the European Union and US. In 2021, B'Tselem joined other major human rights group in branding Israel as an apartheid state. Michael Sfard, the legal adviser to Yesh Din, an organisation that acts to protect the rights of Palestinians in the West Bank, warned against the bill in December: ""If this section passes, it will be a fatal blow to the human rights community in Israel. This is a similar step to those taken against human rights organisations in undemocratic countries such as Poland, Hungary and Russia. The inspiration comes from [Vladimir] Putin and [Victor] Orban."" Sfard explained that the bill is intended to paralyse the activities of groups that criticise Israeli policies targeting the Palestinians. He added that the move by the extreme far-right Israeli government will not harm right-wing organisations such as Kohelet and Elad because, unlike human rights groups, most of the donations they receive from overseas come from private individuals and bodies whose interests, in general, are not concerned with promoting democracy and human rights. READ: The humanitarian paradigm is an act of political violence against Palestinians The US is reported to have conveyed its strong opposition to the legislation. State Department spokesperson Matthew Miller said yesterday that the US ""supports the central role of NGOs as part of civil society"" which are ""critical to democratic and responsive transparent government."" Germany's Ambassador to Israel, Steffen Seibert, said on Twitter today that the bill ""is a matter of grave concern to us and to many of Israel's international partners."" He added that Germany intends to ""continue to raise the issue with our Israeli friends."" The Bill has also been denounced by the French Embassy. A spokesperson is reported as saying that the legislation is ""deeply concerning"" and emphasising the ""critical role of civil society in the life of every democracy."" Experts highlighting Israel's steady drift towards authoritarianism pointed to the fact that, globally since the 1940s, official humanitarian and development assistance has generally been exempted from taxation. The introduction of taxation of this sort by Israel would, therefore, stand apart from normal good practice by a state and act as a disincentive for donors to support Israeli and Palestinian civil society. Should this happen, the resources of organisations critical to the provision of humanitarian relief and human rights protection would be depleted beyond recovery. Last year, Israel's crackdown on human rights groups saw the apartheid state accuse six NGOs which defend Palestinian rights of ""terrorism"". The decision was met with universal condemnation, and seventeen European countries said that they would continue to support the Palestinian NGOs.   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
Lebanon Druze leader Jumblatt resigns from leading his party,Unknown,"May 25, 2023 at 1:35 pm",Lebanon+Middle East+News,"The Lebanese Druze leader, Walid Jumblatt, on Thursday announced his resignation from the leadership of the Progressive Socialist Party (PSP) after chairing it around half a century, Anadolu News Agency reports. According to the Lebanese state news agency, NNA, Jumblatt, 73, has called a party conference for 25 June to choose his successor. He called on his party's general secretariat to complete the relevant procedures of the elections process to elect a new successor for the post, it added. In 1977, Jumblatt became the PSP leader following the assassination of his father, Kamal, during the 15-year Lebanese civil war. After his father's assassination, he also inherited the leadership of the Druze community in Lebanon, making him one of the most important public figures on the Lebanese political scene. PSP has a parliamentary bloc, known as the Democratic Gathering bloc, of nine lawmakers headed by his son, Taymur Jumblatt. Lebanon has been unable to elect a new president since October 2022 to replace former President, Michel Aoun, amid differences among political rivals. The country has also been without a fully functioning government since May last year, with caretaker Prime Minister, Najib Mikati, and his Cabinet having limited powers in their current status. WATCH: Is this Lebanon's oldest clay-roofed house?   This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.  Δ"
